Name,Link,Rating,Enroll,Instructor,Time,Level,Fee,Program,Subtitle,Subject,Organization,Knowledge,Programing Language,Tool,Platform,Framework,Knowledge_P,Programing Language_P,Tool_P,Platform_P,Framework_P
Free SAP BusinessObjects Tutorial - SAP BusinessObjects Business Intelligence - An Introduction,https://www.udemy.com/course/sap-businessobjects-business-intelligence-an-introduction/,4.4,50.452,Phillip Burton,1hr 16min,,Free,,English,Other IT & Software,,,,,,,,,,,
Master Photoshop Web Design With Real World Projects,https://www.udemy.com/course/master-photoshop-web-design-with-real-world-projects/,4.4,405,Jeff Yeh,5 hours on-demand video,,$13.99 ,,English,Web Design,,"principles of design, principles of web design, web design",,,,,,,,,
Build Your Own Custom Wordpress Website and Blog In a Day,https://www.udemy.com/course/how-to-create-a-website/,4.1,20.273,Tom Corson-Knowles,2 hours on-demand video,,$13.99 ,,English,Web Design,,,,,,,,,,,
Android Application Penetration Testing,https://www.udemy.com/course/android-application-penetration-testing-ethical-hacking/,3.7,822,InSEC- Techs,4.5 hours on-demand video,,$13.99 ,,English,Network & Security,,"android applications, penetration testing, hacking, ios app, pentesting,  penetration testing, mobile penetration testing, android apps, android app, penetration testing course, penetration, hacking , android mobile apps, android mobile applications, penetraion testing, android application, android app security",,,,,,,,,
One-stop Ruby on Rails: Build Web Applications from Scratch,https://www.udemy.com/course/build-etsy-yelp-craigslist-and-a-web-scraper-from-scratch/,4.9,2.215,Alex Yang,18.5 hours on-demand video,,$13.99 ,,English,Web Development,,"api, data scraping, script automation, web applications, json, csv databases, data cleaning, web development, data analysis, web scraping",,,,,,,,,
Spring MVC For Beginners - Build Java Web App in 25 Steps,https://www.udemy.com/course/building-web-applications-with-spring-mvc/,4.5,24.395,in28Minutes Official,6 hours on-demand video,,$13.99 ,,"English,Italian",Other IT & Software,,"web application development, web application architecture, web application, rest services",,,,,,java,,,
Increase Revenue From Website Visitor Using Link Redirection,https://www.udemy.com/course/how-to-double-your-adsense-income-from-a-wordpress-website/,3.8,20.152,Educational Engineering Team,1 hour on-demand video,,$13.99 ,,English,Paid Advertising,,,,,,,,,,,
Android 5.0 Lollipop - Essential Training,https://www.udemy.com/course/android-50-lollipop-essential-training/,4.2,3.707,EDUmobile Academy,1.5 hours on-demand video,,$13.99 ,,English,Mobile Development,,"api, material design style,  android development, opengl, user interface",,,,,,java,,,
Growing Your Business with Webinars,https://www.udemy.com/course/growing-your-business-with-webinars/,4.1,642,Maria Nik,1.5 hours on-demand video,,$13.99 ,,English,Digital Marketing,,,,,,,,,,,
Free Bootstrap Tutorial - Learn to Create Advance Responsive Websites With Bootstrap,https://www.udemy.com/course/responsive-website-with-bootstrap/,3.6,7.91,Mohammad Tahir Taous,1hr 50min,,Free,,,Web Development,,front end development,,,,,,,,,
Build a Professional e-commerce website in less than 2 hours,https://www.udemy.com/course/build-a-professional-e-commerce-website-in-less-than-2-hours/,3.5,773,Zachary Matar,2 hours on-demand video,,$13.99 ,,English,E-Commerce,,"web design, domains, e-commerce, hosting, domain names",,,,,,,,,
Create a Responsive Author Website with NO Prior Experience,https://www.udemy.com/course/create-an-author-website/,3.8,607,Tim Johnson,1.5 hours on-demand video,,$13.99 ,,English,Web Development,,web development,,,,,,,,,
